epoch,accuracy,loss,val_accuracy,val_loss
1,66.2100,1.0198,93.4500,0.2319
2,79.9600,0.6376,95.1700,0.1738
3,82.8300,0.5561,95.3900,0.1636
4,84.3767,0.5108,96.2200,0.1303
5,85.0917,0.4904,96.0100,0.1382
6,85.8050,0.4679,96.1100,0.1314
7,86.3950,0.4530,96.5500,0.1197
8,86.8100,0.4385,96.3500,0.1172
9,86.9633,0.4329,96.5000,0.1144
10,87.2767,0.4187,96.9300,0.1041
11,87.5717,0.4135,96.9400,0.0994
12,87.8633,0.4027,97.0100,0.1052
13,87.7750,0.4070,96.9200,0.1116
14,87.9483,0.4024,96.8300,0.1043
15,88.3917,0.3935,96.8400,0.1025
16,88.4233,0.3931,97.0300,0.1011
