epoch,accuracy,loss,val_accuracy,val_loss
1,86.1033,0.4515,95.7700,0.1352
2,93.4450,0.2117,96.7900,0.0987
3,94.5817,0.1748,96.9400,0.0923
4,95.4350,0.1498,97.3700,0.0813
5,95.7967,0.1360,97.4300,0.0820
6,96.1200,0.1247,97.4900,0.0724
7,96.3567,0.1190,97.8500,0.0724
8,96.4850,0.1130,97.6400,0.0781
9,96.7567,0.1061,97.9000,0.0647
10,96.8083,0.1022,97.9100,0.0716
11,96.9483,0.1014,98.0500,0.0614
12,96.9917,0.0970,97.9600,0.0645
13,97.1383,0.0930,98.0900,0.0610
14,97.2450,0.0883,98.3200,0.0503
15,97.2200,0.0893,98.3800,0.0527
16,97.4000,0.0854,98.2100,0.0567
17,97.3767,0.0854,98.2400,0.0569
18,97.4283,0.0818,98.3300,0.0548
19,97.4633,0.0820,98.2600,0.0544
20,97.5200,0.0799,98.4300,0.0512
21,97.6483,0.0783,98.4200,0.0538
22,97.6350,0.0768,98.3900,0.0521
23,97.6433,0.0754,98.5000,0.0478
24,97.6183,0.0783,98.6900,0.0404
25,97.7350,0.0734,98.4600,0.0460
26,97.7683,0.0726,98.6500,0.0452
27,97.7267,0.0732,98.4300,0.0490
28,97.8433,0.0708,98.3200,0.0525
29,97.8383,0.0697,98.6900,0.0433
30,97.7567,0.0744,98.6900,0.0434
31,97.8083,0.0700,98.4800,0.0472
32,97.8917,0.0674,98.7500,0.0408
33,97.9833,0.0653,98.4200,0.0459
34,97.8717,0.0671,98.5200,0.0540
35,98.0217,0.0648,98.5400,0.0480
36,97.9533,0.0653,98.6800,0.0414
37,97.9950,0.0655,98.6200,0.0414
38,98.0017,0.0638,98.4800,0.0491
39,97.9283,0.0652,98.5300,0.0457
40,98.0167,0.0655,98.7700,0.0411
41,98.0233,0.0639,98.5500,0.0471
42,98.0583,0.0635,98.7400,0.0406
43,98.1233,0.0627,98.8500,0.0420
44,98.0317,0.0640,98.8000,0.0391
45,98.0433,0.0619,98.5100,0.0476
46,98.0717,0.0636,98.5700,0.0487
47,98.1267,0.0621,98.3300,0.0507
48,98.1067,0.0618,98.8400,0.0429
49,98.1883,0.0601,98.6700,0.0422
50,98.1783,0.0604,98.8400,0.0408
