epoch,accuracy,loss,val_accuracy,val_loss
1,84.2700,0.5114,94.3200,0.1910
2,91.8467,0.2800,95.9900,0.1389
3,92.9917,0.2386,96.5000,0.1184
4,93.6867,0.2158,96.6300,0.1111
5,94.2017,0.1968,96.8900,0.1043
6,94.4117,0.1883,96.8600,0.1074
7,94.6900,0.1821,97.2200,0.0970
8,95.0900,0.1683,97.0300,0.1012
9,95.0967,0.1654,97.1900,0.0924
10,95.1933,0.1619,97.1200,0.0980
11,95.5217,0.1550,97.3000,0.0957
12,95.3583,0.1540,97.1800,0.0995
13,95.5217,0.1516,97.3300,0.0932
14,95.6950,0.1454,97.3900,0.0957
15,95.6133,0.1455,97.3600,0.0922
16,95.8117,0.1408,97.4400,0.0895
17,95.9050,0.1393,97.4200,0.0917
18,95.8617,0.1375,97.2900,0.1013
19,96.0717,0.1337,97.4300,0.0900
20,96.0967,0.1339,97.6200,0.0866
21,96.1067,0.1310,97.5600,0.0903
22,96.1233,0.1290,97.7100,0.0869
23,96.2200,0.1273,97.4700,0.0922
24,96.3133,0.1280,97.5700,0.0857
25,96.3583,0.1231,97.5800,0.0874
26,96.4033,0.1210,97.4700,0.0929
27,96.2300,0.1233,97.6200,0.0891
28,96.3750,0.1203,97.5700,0.0921
29,96.3733,0.1217,97.5500,0.0933
30,96.4433,0.1194,97.6200,0.0891
31,96.4683,0.1142,97.5800,0.0881
32,96.6050,0.1140,97.4900,0.0935
33,96.5383,0.1179,97.7100,0.0865
34,96.6767,0.1116,97.6600,0.0894
35,96.6150,0.1121,97.5100,0.0928
36,96.7200,0.1104,97.5000,0.0925
37,96.7717,0.1089,97.5600,0.0916
38,96.6850,0.1119,97.6700,0.0893
39,96.7483,0.1097,97.6300,0.0947
40,96.7500,0.1082,97.8000,0.0876
41,96.7133,0.1085,97.5900,0.0894
42,96.8450,0.1056,97.6700,0.0892
43,96.7667,0.1087,97.7600,0.0913
44,96.8450,0.1057,97.6500,0.0919
45,96.7550,0.1091,97.6700,0.0877
46,96.8567,0.1041,97.6200,0.1006
47,96.8200,0.1064,97.6900,0.0920
48,96.8100,0.1098,97.5800,0.0939
49,96.8983,0.1018,97.8400,0.0962
50,96.8617,0.1040,97.7800,0.0925
